,block,soa,validity,target_pos,resp,RT
0,0,0.8,invalid,left,,0
1,0,0.0,valid,catch,,0
2,0,0.1,control,right,,0
3,0,0.2,invalid,right,,0
4,0,0.2,valid,left,,0
5,0,0.1,control,left,,0
6,0,0.2,valid,right,,0
7,0,0.1,valid,left,,0
8,0,0.2,invalid,left,,0
9,0,0.0,invalid,catch,,0
10,0,0.8,valid,left,,0
11,0,0.1,invalid,right,,0
12,0,0.1,valid,right,,0
13,0,0.8,invalid,right,,0
14,0,0.2,control,right,,0
15,0,0.0,control,catch,,0
16,0,0.8,control,right,,0
17,0,0.8,valid,right,,0
18,0,0.8,control,left,,0
19,0,0.1,invalid,left,,0
20,0,0.2,control,left,,0
21,1,0.0,control,catch,,0
22,1,0.1,invalid,right,,0
23,1,0.0,valid,catch,,0
24,1,0.2,control,right,,0
25,1,0.2,valid,right,,0
26,1,0.2,valid,left,,0
27,1,0.8,invalid,left,,0
28,1,0.2,invalid,right,,0
29,1,0.2,control,left,,0
30,1,0.8,invalid,right,,0
31,1,0.8,control,right,,0
32,1,0.1,invalid,left,,0
33,1,0.8,valid,right,,0
34,1,0.1,valid,right,,0
35,1,0.1,control,right,,0
36,1,0.8,valid,left,,0
37,1,0.1,valid,left,,0
38,1,0.1,control,left,,0
39,1,0.8,control,left,,0
40,1,0.2,invalid,left,,0
41,1,0.0,invalid,catch,,0
42,2,0.0,control,catch,,0
43,2,0.1,control,right,,0
44,2,0.1,control,left,,0
45,2,0.2,valid,right,,0
46,2,0.2,invalid,right,,0
47,2,0.8,invalid,right,,0
48,2,0.0,valid,catch,,0
49,2,0.0,invalid,catch,,0
50,2,0.1,invalid,right,,0
51,2,0.1,invalid,left,,0
52,2,0.2,control,right,,0
53,2,0.8,control,left,,0
54,2,0.8,invalid,left,,0
55,2,0.2,control,left,,0
56,2,0.8,control,right,,0
57,2,0.1,valid,left,,0
58,2,0.1,valid,right,,0
59,2,0.2,invalid,left,,0
60,2,0.8,valid,left,,0
61,2,0.8,valid,right,,0
62,2,0.2,valid,left,,0
63,3,0.8,control,right,,0
64,3,0.8,valid,left,,0
65,3,0.1,invalid,right,,0
66,3,0.1,valid,right,,0
67,3,0.0,valid,catch,,0
68,3,0.2,control,right,,0
69,3,0.2,valid,right,,0
70,3,0.1,control,right,,0
71,3,0.1,valid,left,,0
72,3,0.8,invalid,right,,0
73,3,0.1,control,left,,0
74,3,0.8,invalid,left,,0
75,3,0.0,control,catch,,0
76,3,0.8,valid,right,,0
77,3,0.2,invalid,left,,0
78,3,0.0,invalid,catch,,0
79,3,0.2,invalid,right,,0
80,3,0.1,invalid,left,,0
81,3,0.8,control,left,,0
82,3,0.2,valid,left,,0
83,3,0.2,control,left,,0
